column_a,code,browser,cldr_short_name
2295,U+1F4AF,💯,hundred points
2296,U+1F520,🔠,input latin uppercase
2297,U+1F521,🔡,input latin lowercase
2298,U+1F522,🔢,input numbers
2299,U+1F523,🔣,input symbols
2300,U+1F524,🔤,input latin letters
2301,U+1F170,🅰,A button (blood type)
2302,U+1F18E,🆎,AB button (blood type)
2303,U+1F171,🅱,B button (blood type)
2304,U+1F191,🆑,CL button
2305,U+1F192,🆒,COOL button
2306,U+1F193,🆓,FREE button
2307,U+2139,ℹ,information
2308,U+1F194,🆔,ID button
2309,U+24C2,Ⓜ,circled M
2310,U+1F195,🆕,NEW button
2311,U+1F196,🆖,NG button
2312,U+1F17E,🅾,O button (blood type)
2313,U+1F197,🆗,OK button
2314,U+1F17F,🅿,P button
2315,U+1F198,🆘,SOS button
2316,U+1F199,🆙,UP! button
2317,U+1F19A,🆚,VS button
2318,U+1F201,🈁,Japanese “here” button
2319,U+1F202,🈂,Japanese “service charge” button
2320,U+1F237,🈷,Japanese “monthly amount” button
2321,U+1F236,🈶,Japanese “not free of charge” button
2322,U+1F22F,🈯,Japanese “reserved” button
2323,U+1F250,🉐,Japanese “bargain” button
2324,U+1F239,🈹,Japanese “discount” button
2325,U+1F21A,🈚,Japanese “free of charge” button
2326,U+1F232,🈲,Japanese “prohibited” button
2327,U+1F251,🉑,Japanese “acceptable” button
2328,U+1F238,🈸,Japanese “application” button
2329,U+1F234,🈴,Japanese “passing grade” button
2330,U+1F233,🈳,Japanese “vacancy” button
2331,U+3297,㊗,Japanese “congratulations” button
2332,U+3299,㊙,Japanese “secret” button
2333,U+1F23A,🈺,Japanese “open for business” button
2334,U+1F235,🈵,Japanese “no vacancy” button
