column_a,code,browser,cldr_short_name
1508,U+1F435,🐵,monkey face
1509,U+1F412,🐒,monkey
1510,U+1F98D,🦍,gorilla
1511,U+1F436,🐶,dog face
1512,U+1F415,🐕,dog
1513,U+1F429,🐩,poodle
1514,U+1F43A,🐺,wolf face
1515,U+1F98A,🦊,fox face
1516,U+1F431,🐱,cat face
1517,U+1F408,🐈,cat
1518,U+1F981,🦁,lion face
1519,U+1F42F,🐯,tiger face
1520,U+1F405,🐅,tiger
1521,U+1F406,🐆,leopard
1522,U+1F434,🐴,horse face
1523,U+1F40E,🐎,horse
1524,U+1F984,🦄,unicorn face
1526,U+1F98C,🦌,deer
1527,U+1F42E,🐮,cow face
1528,U+1F402,🐂,ox
1529,U+1F403,🐃,water buffalo
1530,U+1F404,🐄,cow
1531,U+1F437,🐷,pig face
1532,U+1F416,🐖,pig
1533,U+1F417,🐗,boar
1534,U+1F43D,🐽,pig nose
1535,U+1F40F,🐏,ram
1536,U+1F411,🐑,ewe
1537,U+1F410,🐐,goat
1538,U+1F42A,🐪,camel
1539,U+1F42B,🐫,two-hump camel
1540,U+1F992,🦒,⊛ giraffe
1541,U+1F418,🐘,elephant
1542,U+1F98F,🦏,rhinoceros
1543,U+1F42D,🐭,mouse face
1544,U+1F401,🐁,mouse
1545,U+1F400,🐀,rat
1546,U+1F439,🐹,hamster face
1547,U+1F430,🐰,rabbit face
1548,U+1F407,🐇,rabbit
1549,U+1F43F,🐿,chipmunk
1551,U+1F987,🦇,bat
1552,U+1F43B,🐻,bear face
1553,U+1F428,🐨,koala
1554,U+1F43C,🐼,panda face
1555,U+1F43E,🐾,paw prints
