column_a,code,browser,cldr_short_name
2178,U+2B06,⬆,up arrow
2179,U+2197,↗,up-right arrow
2180,U+27A1,➡,right arrow
2181,U+2198,↘,down-right arrow
2182,U+2B07,⬇,down arrow
2183,U+2199,↙,down-left arrow
2184,U+2B05,⬅,left arrow
2185,U+2196,↖,up-left arrow
2186,U+2195,↕,up-down arrow
2187,U+2194,↔,left-right arrow
2188,U+21A9,↩,right arrow curving left
2189,U+21AA,↪,left arrow curving right
2190,U+2934,⤴,right arrow curving up
2191,U+2935,⤵,right arrow curving down
2192,U+1F503,🔃,clockwise vertical arrows
2193,U+1F504,🔄,counterclockwise arrows button
2194,U+1F519,🔙,BACK arrow
2195,U+1F51A,🔚,END arrow
2196,U+1F51B,🔛,ON! arrow
2197,U+1F51C,🔜,SOON arrow
2198,U+1F51D,🔝,TOP arrow
