column_a,code,browser,cldr_short_name
1475,U+1F453,👓,glasses
1476,U+1F576,🕶,sunglasses
1477,U+1F454,👔,necktie
1478,U+1F455,👕,t-shirt
1479,U+1F456,👖,jeans
1484,U+1F457,👗,dress
1485,U+1F458,👘,kimono
1486,U+1F459,👙,bikini
1487,U+1F45A,👚,woman’s clothes
1488,U+1F45B,👛,purse
1489,U+1F45C,👜,handbag
1490,U+1F45D,👝,clutch bag
1491,U+1F6CD,🛍,shopping bags
1492,U+1F392,🎒,school backpack
1493,U+1F45E,👞,man’s shoe
1494,U+1F45F,👟,running shoe
1495,U+1F460,👠,high-heeled shoe
1496,U+1F461,👡,woman’s sandal
1497,U+1F462,👢,woman’s boot
1498,U+1F451,👑,crown
1499,U+1F452,👒,woman’s hat
1500,U+1F3A9,🎩,top hat
1501,U+1F393,🎓,graduation cap
1503,U+26D1,⛑,rescue worker’s helmet
1504,U+1F4FF,📿,prayer beads
1505,U+1F484,💄,lipstick
1506,U+1F48D,💍,ring
1507,U+1F48E,💎,gem stone
