column_a,code,browser,cldr_short_name
1444,U+1F48B,💋,kiss mark
1445,U+1F498,💘,heart with arrow
1446,U+2764,❤,red heart
1447,U+1F493,💓,beating heart
1448,U+1F494,💔,broken heart
1449,U+1F495,💕,two hearts
1450,U+1F496,💖,sparkling heart
1451,U+1F497,💗,growing heart
1452,U+1F499,💙,blue heart
1453,U+1F49A,💚,green heart
1454,U+1F49B,💛,yellow heart
1456,U+1F49C,💜,purple heart
1457,U+1F5A4,🖤,black heart
1458,U+1F49D,💝,heart with ribbon
1459,U+1F49E,💞,revolving hearts
1460,U+1F49F,💟,heart decoration
1461,U+2763,❣,heavy heart exclamation
1462,U+1F48C,💌,love letter
1463,U+1F4A4,💤,zzz
1464,U+1F4A2,💢,anger symbol
1465,U+1F4A3,💣,bomb
1466,U+1F4A5,💥,collision
1467,U+1F4A6,💦,sweat droplets
1468,U+1F4A8,💨,dashing away
1469,U+1F4AB,💫,dizzy
1470,U+1F4AC,💬,speech balloon
1471,U+1F5E8,🗨,left speech bubble
1472,U+1F5EF,🗯,right anger bubble
1473,U+1F4AD,💭,thought balloon
1474,U+1F573,🕳,hole
