column_a,code,browser,cldr_short_name
1648,U+1F35E,🍞,bread
1649,U+1F950,🥐,croissant
1650,U+1F956,🥖,baguette bread
1652,U+1F95E,🥞,pancakes
1653,U+1F9C0,🧀,cheese wedge
1654,U+1F356,🍖,meat on bone
1655,U+1F357,🍗,poultry leg
1657,U+1F953,🥓,bacon
1658,U+1F354,🍔,hamburger
1659,U+1F35F,🍟,french fries
1660,U+1F355,🍕,pizza
1661,U+1F32D,🌭,hot dog
1663,U+1F32E,🌮,taco
1664,U+1F32F,🌯,burrito
1665,U+1F959,🥙,stuffed flatbread
1666,U+1F95A,🥚,egg
1667,U+1F373,🍳,cooking
1668,U+1F958,🥘,shallow pan of food
1669,U+1F372,🍲,pot of food
1671,U+1F957,🥗,green salad
1672,U+1F37F,🍿,popcorn
