column_a,code,browser,cldr_short_name
2335,U+25AA,▪,black small square
2336,U+25AB,▫,white small square
2337,U+25FB,◻,white medium square
2338,U+25FC,◼,black medium square
2339,U+25FD,◽,white medium-small square
2340,U+25FE,◾,black medium-small square
2341,U+2B1B,⬛,black large square
2342,U+2B1C,⬜,white large square
2343,U+1F536,🔶,large orange diamond
2344,U+1F537,🔷,large blue diamond
2345,U+1F538,🔸,small orange diamond
2346,U+1F539,🔹,small blue diamond
2347,U+1F53A,🔺,red triangle pointed up
2348,U+1F53B,🔻,red triangle pointed down
2349,U+1F4A0,💠,diamond with a dot
2350,U+1F518,🔘,radio button
2351,U+1F532,🔲,black square button
2352,U+1F533,🔳,white square button
2353,U+26AA,⚪,white circle
2354,U+26AB,⚫,black circle
2355,U+1F534,🔴,red circle
2356,U+1F535,🔵,blue circle
