column_a,code,browser,cldr_short_name
636,U+1F64D,🙍,person frowning
637,U+1F64D U+1F3FB,🙍🏻,person frowning: light skin tone
638,U+1F64D U+1F3FC,🙍🏼,person frowning: medium-light skin tone
639,U+1F64D U+1F3FD,🙍🏽,person frowning: medium skin tone
640,U+1F64D U+1F3FE,🙍🏾,person frowning: medium-dark skin tone
641,U+1F64D U+1F3FF,🙍🏿,person frowning: dark skin tone
642,U+1F64D U+200D U+2642 U+FE0F,🙍‍♂️,man frowning
643,U+1F64D U+1F3FB U+200D U+2642 U+FE0F,🙍🏻‍♂️,man frowning: light skin tone
644,U+1F64D U+1F3FC U+200D U+2642 U+FE0F,🙍🏼‍♂️,man frowning: medium-light skin tone
645,U+1F64D U+1F3FD U+200D U+2642 U+FE0F,🙍🏽‍♂️,man frowning: medium skin tone
646,U+1F64D U+1F3FE U+200D U+2642 U+FE0F,🙍🏾‍♂️,man frowning: medium-dark skin tone
647,U+1F64D U+1F3FF U+200D U+2642 U+FE0F,🙍🏿‍♂️,man frowning: dark skin tone
648,U+1F64D U+200D U+2640 U+FE0F,🙍‍♀️,woman frowning
649,U+1F64D U+1F3FB U+200D U+2640 U+FE0F,🙍🏻‍♀️,woman frowning: light skin tone
650,U+1F64D U+1F3FC U+200D U+2640 U+FE0F,🙍🏼‍♀️,woman frowning: medium-light skin tone
651,U+1F64D U+1F3FD U+200D U+2640 U+FE0F,🙍🏽‍♀️,woman frowning: medium skin tone
652,U+1F64D U+1F3FE U+200D U+2640 U+FE0F,🙍🏾‍♀️,woman frowning: medium-dark skin tone
653,U+1F64D U+1F3FF U+200D U+2640 U+FE0F,🙍🏿‍♀️,woman frowning: dark skin tone
654,U+1F64E,🙎,person pouting
655,U+1F64E U+1F3FB,🙎🏻,person pouting: light skin tone
656,U+1F64E U+1F3FC,🙎🏼,person pouting: medium-light skin tone
657,U+1F64E U+1F3FD,🙎🏽,person pouting: medium skin tone
658,U+1F64E U+1F3FE,🙎🏾,person pouting: medium-dark skin tone
659,U+1F64E U+1F3FF,🙎🏿,person pouting: dark skin tone
660,U+1F64E U+200D U+2642 U+FE0F,🙎‍♂️,man pouting
661,U+1F64E U+1F3FB U+200D U+2642 U+FE0F,🙎🏻‍♂️,man pouting: light skin tone
662,U+1F64E U+1F3FC U+200D U+2642 U+FE0F,🙎🏼‍♂️,man pouting: medium-light skin tone
663,U+1F64E U+1F3FD U+200D U+2642 U+FE0F,🙎🏽‍♂️,man pouting: medium skin tone
664,U+1F64E U+1F3FE U+200D U+2642 U+FE0F,🙎🏾‍♂️,man pouting: medium-dark skin tone
665,U+1F64E U+1F3FF U+200D U+2642 U+FE0F,🙎🏿‍♂️,man pouting: dark skin tone
666,U+1F64E U+200D U+2640 U+FE0F,🙎‍♀️,woman pouting
667,U+1F64E U+1F3FB U+200D U+2640 U+FE0F,🙎🏻‍♀️,woman pouting: light skin tone
668,U+1F64E U+1F3FC U+200D U+2640 U+FE0F,🙎🏼‍♀️,woman pouting: medium-light skin tone
