column_a,code,browser,cldr_short_name
168,U+1F468 U+200D U+2695 U+FE0F,👨‍⚕️,man health worker
169,U+1F468 U+1F3FB U+200D U+2695 U+FE0F,👨🏻‍⚕️,man health worker: light skin tone
170,U+1F468 U+1F3FC U+200D U+2695 U+FE0F,👨🏼‍⚕️,man health worker: medium-light skin tone
171,U+1F468 U+1F3FD U+200D U+2695 U+FE0F,👨🏽‍⚕️,man health worker: medium skin tone
172,U+1F468 U+1F3FE U+200D U+2695 U+FE0F,👨🏾‍⚕️,man health worker: medium-dark skin tone
173,U+1F468 U+1F3FF U+200D U+2695 U+FE0F,👨🏿‍⚕️,man health worker: dark skin tone
174,U+1F469 U+200D U+2695 U+FE0F,👩‍⚕️,woman health worker
175,U+1F469 U+1F3FB U+200D U+2695 U+FE0F,👩🏻‍⚕️,woman health worker: light skin tone
176,U+1F469 U+1F3FC U+200D U+2695 U+FE0F,👩🏼‍⚕️,woman health worker: medium-light skin tone
177,U+1F469 U+1F3FD U+200D U+2695 U+FE0F,👩🏽‍⚕️,woman health worker: medium skin tone
178,U+1F469 U+1F3FE U+200D U+2695 U+FE0F,👩🏾‍⚕️,woman health worker: medium-dark skin tone
179,U+1F469 U+1F3FF U+200D U+2695 U+FE0F,👩🏿‍⚕️,woman health worker: dark skin tone
180,U+1F468 U+200D U+1F393,👨‍🎓,man student
181,U+1F468 U+1F3FB U+200D U+1F393,👨🏻‍🎓,man student: light skin tone
182,U+1F468 U+1F3FC U+200D U+1F393,👨🏼‍🎓,man student: medium-light skin tone
183,U+1F468 U+1F3FD U+200D U+1F393,👨🏽‍🎓,man student: medium skin tone
184,U+1F468 U+1F3FE U+200D U+1F393,👨🏾‍🎓,man student: medium-dark skin tone
185,U+1F468 U+1F3FF U+200D U+1F393,👨🏿‍🎓,man student: dark skin tone
186,U+1F469 U+200D U+1F393,👩‍🎓,woman student
187,U+1F469 U+1F3FB U+200D U+1F393,👩🏻‍🎓,woman student: light skin tone
188,U+1F469 U+1F3FC U+200D U+1F393,👩🏼‍🎓,woman student: medium-light skin tone
189,U+1F469 U+1F3FD U+200D U+1F393,👩🏽‍🎓,woman student: medium skin tone
190,U+1F469 U+1F3FE U+200D U+1F393,👩🏾‍🎓,woman student: medium-dark skin tone
191,U+1F469 U+1F3FF U+200D U+1F393,👩🏿‍🎓,woman student: dark skin tone
192,U+1F468 U+200D U+1F3EB,👨‍🏫,man teacher
193,U+1F468 U+1F3FB U+200D U+1F3EB,👨🏻‍🏫,man teacher: light skin tone
194,U+1F468 U+1F3FC U+200D U+1F3EB,👨🏼‍🏫,man teacher: medium-light skin tone
195,U+1F468 U+1F3FD U+200D U+1F3EB,👨🏽‍🏫,man teacher: medium skin tone
196,U+1F468 U+1F3FE U+200D U+1F3EB,👨🏾‍🏫,man teacher: medium-dark skin tone
197,U+1F468 U+1F3FF U+200D U+1F3EB,👨🏿‍🏫,man teacher: dark skin tone
198,U+1F469 U+200D U+1F3EB,👩‍🏫,woman teacher
199,U+1F469 U+1F3FB U+200D U+1F3EB,👩🏻‍🏫,woman teacher: light skin tone
200,U+1F469 U+1F3FC U+200D U+1F3EB,👩🏼‍🏫,woman teacher: medium-light skin tone
201,U+1F469 U+1F3FD U+200D U+1F3EB,👩🏽‍🏫,woman teacher: medium skin tone
202,U+1F469 U+1F3FE U+200D U+1F3EB,👩🏾‍🏫,woman teacher: medium-dark skin tone
203,U+1F469 U+1F3FF U+200D U+1F3EB,👩🏿‍🏫,woman teacher: dark skin tone
204,U+1F468 U+200D U+2696 U+FE0F,👨‍⚖️,man judge
205,U+1F468 U+1F3FB U+200D U+2696 U+FE0F,👨🏻‍⚖️,man judge: light skin tone
206,U+1F468 U+1F3FC U+200D U+2696 U+FE0F,👨🏼‍⚖️,man judge: medium-light skin tone
207,U+1F468 U+1F3FD U+200D U+2696 U+FE0F,👨🏽‍⚖️,man judge: medium skin tone
208,U+1F468 U+1F3FE U+200D U+2696 U+FE0F,👨🏾‍⚖️,man judge: medium-dark skin tone
209,U+1F468 U+1F3FF U+200D U+2696 U+FE0F,👨🏿‍⚖️,man judge: dark skin tone
210,U+1F469 U+200D U+2696 U+FE0F,👩‍⚖️,woman judge
211,U+1F469 U+1F3FB U+200D U+2696 U+FE0F,👩🏻‍⚖️,woman judge: light skin tone
212,U+1F469 U+1F3FC U+200D U+2696 U+FE0F,👩🏼‍⚖️,woman judge: medium-light skin tone
213,U+1F469 U+1F3FD U+200D U+2696 U+FE0F,👩🏽‍⚖️,woman judge: medium skin tone
214,U+1F469 U+1F3FE U+200D U+2696 U+FE0F,👩🏾‍⚖️,woman judge: medium-dark skin tone
215,U+1F469 U+1F3FF U+200D U+2696 U+FE0F,👩🏿‍⚖️,woman judge: dark skin tone
216,U+1F468 U+200D U+1F33E,👨‍🌾,man farmer
217,U+1F468 U+1F3FB U+200D U+1F33E,👨🏻‍🌾,man farmer: light skin tone
218,U+1F468 U+1F3FC U+200D U+1F33E,👨🏼‍🌾,man farmer: medium-light skin tone
219,U+1F468 U+1F3FD U+200D U+1F33E,👨🏽‍🌾,man farmer: medium skin tone
220,U+1F468 U+1F3FE U+200D U+1F33E,👨🏾‍🌾,man farmer: medium-dark skin tone
221,U+1F468 U+1F3FF U+200D U+1F33E,👨🏿‍🌾,man farmer: dark skin tone
222,U+1F469 U+200D U+1F33E,👩‍🌾,woman farmer
223,U+1F469 U+1F3FB U+200D U+1F33E,👩🏻‍🌾,woman farmer: light skin tone
224,U+1F469 U+1F3FC U+200D U+1F33E,👩🏼‍🌾,woman farmer: medium-light skin tone
225,U+1F469 U+1F3FD U+200D U+1F33E,👩🏽‍🌾,woman farmer: medium skin tone
226,U+1F469 U+1F3FE U+200D U+1F33E,👩🏾‍🌾,woman farmer: medium-dark skin tone
227,U+1F469 U+1F3FF U+200D U+1F33E,👩🏿‍🌾,woman farmer: dark skin tone
228,U+1F468 U+200D U+1F373,👨‍🍳,man cook
