column_a,code,browser,cldr_short_name
960,U+1F93A,🤺,person fencing
961,U+1F3C7,🏇,horse racing
962,U+1F3C7 U+1F3FB,🏇🏻,horse racing: light skin tone
963,U+1F3C7 U+1F3FC,🏇🏼,horse racing: medium-light skin tone
964,U+1F3C7 U+1F3FD,🏇🏽,horse racing: medium skin tone
965,U+1F3C7 U+1F3FE,🏇🏾,horse racing: medium-dark skin tone
966,U+1F3C7 U+1F3FF,🏇🏿,horse racing: dark skin tone
967,U+26F7,⛷,skier
968,U+1F3C2,🏂,snowboarder
969,U+1F3C2 U+1F3FB,🏂🏻,snowboarder: light skin tone
970,U+1F3C2 U+1F3FC,🏂🏼,snowboarder: medium-light skin tone
971,U+1F3C2 U+1F3FD,🏂🏽,snowboarder: medium skin tone
972,U+1F3C2 U+1F3FE,🏂🏾,snowboarder: medium-dark skin tone
973,U+1F3C2 U+1F3FF,🏂🏿,snowboarder: dark skin tone
974,U+1F3CC,🏌,person golfing
975,U+1F3CC U+1F3FB,🏌🏻,person golfing: light skin tone
976,U+1F3CC U+1F3FC,🏌🏼,person golfing: medium-light skin tone
977,U+1F3CC U+1F3FD,🏌🏽,person golfing: medium skin tone
978,U+1F3CC U+1F3FE,🏌🏾,person golfing: medium-dark skin tone
979,U+1F3CC U+1F3FF,🏌🏿,person golfing: dark skin tone
980,U+1F3CC U+FE0F U+200D U+2642 U+FE0F,🏌️‍♂️,man golfing
981,U+1F3CC U+1F3FB U+200D U+2642 U+FE0F,🏌🏻‍♂️,man golfing: light skin tone
982,U+1F3CC U+1F3FC U+200D U+2642 U+FE0F,🏌🏼‍♂️,man golfing: medium-light skin tone
983,U+1F3CC U+1F3FD U+200D U+2642 U+FE0F,🏌🏽‍♂️,man golfing: medium skin tone
984,U+1F3CC U+1F3FE U+200D U+2642 U+FE0F,🏌🏾‍♂️,man golfing: medium-dark skin tone
985,U+1F3CC U+1F3FF U+200D U+2642 U+FE0F,🏌🏿‍♂️,man golfing: dark skin tone
986,U+1F3CC U+FE0F U+200D U+2640 U+FE0F,🏌️‍♀️,woman golfing
987,U+1F3CC U+1F3FB U+200D U+2640 U+FE0F,🏌🏻‍♀️,woman golfing: light skin tone
988,U+1F3CC U+1F3FC U+200D U+2640 U+FE0F,🏌🏼‍♀️,woman golfing: medium-light skin tone
989,U+1F3CC U+1F3FD U+200D U+2640 U+FE0F,🏌🏽‍♀️,woman golfing: medium skin tone
990,U+1F3CC U+1F3FE U+200D U+2640 U+FE0F,🏌🏾‍♀️,woman golfing: medium-dark skin tone
991,U+1F3CC U+1F3FF U+200D U+2640 U+FE0F,🏌🏿‍♀️,woman golfing: dark skin tone
992,U+1F3C4,🏄,person surfing
993,U+1F3C4 U+1F3FB,🏄🏻,person surfing: light skin tone
994,U+1F3C4 U+1F3FC,🏄🏼,person surfing: medium-light skin tone
995,U+1F3C4 U+1F3FD,🏄🏽,person surfing: medium skin tone
996,U+1F3C4 U+1F3FE,🏄🏾,person surfing: medium-dark skin tone
997,U+1F3C4 U+1F3FF,🏄🏿,person surfing: dark skin tone
998,U+1F3C4 U+200D U+2642 U+FE0F,🏄‍♂️,man surfing
999,U+1F3C4 U+1F3FB U+200D U+2642 U+FE0F,🏄🏻‍♂️,man surfing: light skin tone
1000,U+1F3C4 U+1F3FC U+200D U+2642 U+FE0F,🏄🏼‍♂️,man surfing: medium-light skin tone
1001,U+1F3C4 U+1F3FD U+200D U+2642 U+FE0F,🏄🏽‍♂️,man surfing: medium skin tone
1002,U+1F3C4 U+1F3FE U+200D U+2642 U+FE0F,🏄🏾‍♂️,man surfing: medium-dark skin tone
1003,U+1F3C4 U+1F3FF U+200D U+2642 U+FE0F,🏄🏿‍♂️,man surfing: dark skin tone
1004,U+1F3C4 U+200D U+2640 U+FE0F,🏄‍♀️,woman surfing
1005,U+1F3C4 U+1F3FB U+200D U+2640 U+FE0F,🏄🏻‍♀️,woman surfing: light skin tone
1006,U+1F3C4 U+1F3FC U+200D U+2640 U+FE0F,🏄🏼‍♀️,woman surfing: medium-light skin tone
1007,U+1F3C4 U+1F3FD U+200D U+2640 U+FE0F,🏄🏽‍♀️,woman surfing: medium skin tone
1008,U+1F3C4 U+1F3FE U+200D U+2640 U+FE0F,🏄🏾‍♀️,woman surfing: medium-dark skin tone
1009,U+1F3C4 U+1F3FF U+200D U+2640 U+FE0F,🏄🏿‍♀️,woman surfing: dark skin tone
1010,U+1F6A3,🚣,person rowing boat
1011,U+1F6A3 U+1F3FB,🚣🏻,person rowing boat: light skin tone
1012,U+1F6A3 U+1F3FC,🚣🏼,person rowing boat: medium-light skin tone
1013,U+1F6A3 U+1F3FD,🚣🏽,person rowing boat: medium skin tone
1014,U+1F6A3 U+1F3FE,🚣🏾,person rowing boat: medium-dark skin tone
1015,U+1F6A3 U+1F3FF,🚣🏿,person rowing boat: dark skin tone
1016,U+1F6A3 U+200D U+2642 U+FE0F,🚣‍♂️,man rowing boat
1017,U+1F6A3 U+1F3FB U+200D U+2642 U+FE0F,🚣🏻‍♂️,man rowing boat: light skin tone
1018,U+1F6A3 U+1F3FC U+200D U+2642 U+FE0F,🚣🏼‍♂️,man rowing boat: medium-light skin tone
1019,U+1F6A3 U+1F3FD U+200D U+2642 U+FE0F,🚣🏽‍♂️,man rowing boat: medium skin tone
1020,U+1F6A3 U+1F3FE U+200D U+2642 U+FE0F,🚣🏾‍♂️,man rowing boat: medium-dark skin tone
1021,U+1F6A3 U+1F3FF U+200D U+2642 U+FE0F,🚣🏿‍♂️,man rowing boat: dark skin tone
1022,U+1F6A3 U+200D U+2640 U+FE0F,🚣‍♀️,woman rowing boat
1023,U+1F6A3 U+1F3FB U+200D U+2640 U+FE0F,🚣🏻‍♀️,woman rowing boat: light skin tone
1024,U+1F6A3 U+1F3FC U+200D U+2640 U+FE0F,🚣🏼‍♀️,woman rowing boat: medium-light skin tone
1025,U+1F6A3 U+1F3FD U+200D U+2640 U+FE0F,🚣🏽‍♀️,woman rowing boat: medium skin tone
1026,U+1F6A3 U+1F3FE U+200D U+2640 U+FE0F,🚣🏾‍♀️,woman rowing boat: medium-dark skin tone
1027,U+1F6A3 U+1F3FF U+200D U+2640 U+FE0F,🚣🏿‍♀️,woman rowing boat: dark skin tone
1028,U+1F3CA,🏊,person swimming
1029,U+1F3CA U+1F3FB,🏊🏻,person swimming: light skin tone
1030,U+1F3CA U+1F3FC,🏊🏼,person swimming: medium-light skin tone
1031,U+1F3CA U+1F3FD,🏊🏽,person swimming: medium skin tone
1032,U+1F3CA U+1F3FE,🏊🏾,person swimming: medium-dark skin tone
1033,U+1F3CA U+1F3FF,🏊🏿,person swimming: dark skin tone
1034,U+1F3CA U+200D U+2642 U+FE0F,🏊‍♂️,man swimming
1035,U+1F3CA U+1F3FB U+200D U+2642 U+FE0F,🏊🏻‍♂️,man swimming: light skin tone
1036,U+1F3CA U+1F3FC U+200D U+2642 U+FE0F,🏊🏼‍♂️,man swimming: medium-light skin tone
