column_a,code,browser,cldr_short_name
1738,U+1F3DF,🏟,stadium
1739,U+1F3DB,🏛,classical building
1740,U+1F3D7,🏗,building construction
1741,U+1F3D8,🏘,houses
1742,U+1F3D9,🏙,cityscape
1743,U+1F3DA,🏚,derelict house
1744,U+1F3E0,🏠,house
1745,U+1F3E1,🏡,house with garden
1746,U+1F3E2,🏢,office building
1747,U+1F3E3,🏣,Japanese post office
1748,U+1F3E4,🏤,post office
1749,U+1F3E5,🏥,hospital
1750,U+1F3E6,🏦,bank
1751,U+1F3E8,🏨,hotel
1752,U+1F3E9,🏩,love hotel
1753,U+1F3EA,🏪,convenience store
1754,U+1F3EB,🏫,school
1755,U+1F3EC,🏬,department store
1756,U+1F3ED,🏭,factory
1757,U+1F3EF,🏯,Japanese castle
1758,U+1F3F0,🏰,castle
1759,U+1F492,💒,wedding
1760,U+1F5FC,🗼,Tokyo tower
1761,U+1F5FD,🗽,Statue of Liberty
