column_a,code,browser,cldr_short_name
1787,U+1F682,🚂,locomotive
1788,U+1F683,🚃,railway car
1789,U+1F684,🚄,high-speed train
1790,U+1F685,🚅,bullet train
1791,U+1F686,🚆,train
1792,U+1F687,🚇,metro
1793,U+1F688,🚈,light rail
1794,U+1F689,🚉,station
1795,U+1F68A,🚊,tram
1796,U+1F69D,🚝,monorail
1797,U+1F69E,🚞,mountain railway
1798,U+1F68B,🚋,tram car
1799,U+1F68C,🚌,bus
1800,U+1F68D,🚍,oncoming bus
1801,U+1F68E,🚎,trolleybus
1802,U+1F690,🚐,minibus
1803,U+1F691,🚑,ambulance
1804,U+1F692,🚒,fire engine
1805,U+1F693,🚓,police car
1806,U+1F694,🚔,oncoming police car
1807,U+1F695,🚕,taxi
1808,U+1F696,🚖,oncoming taxi
1809,U+1F697,🚗,automobile
1810,U+1F698,🚘,oncoming automobile
1811,U+1F699,🚙,sport utility vehicle
1812,U+1F69A,🚚,delivery truck
1813,U+1F69B,🚛,articulated lorry
1814,U+1F69C,🚜,tractor
1815,U+1F6B2,🚲,bicycle
1816,U+1F6F4,🛴,kick scooter
1817,U+1F6F5,🛵,motor scooter
1818,U+1F68F,🚏,bus stop
1819,U+1F6E3,🛣,motorway
1820,U+1F6E4,🛤,railway track
1821,U+26FD,⛽,fuel pump
1822,U+1F6A8,🚨,police car light
1823,U+1F6A5,🚥,horizontal traffic light
1824,U+1F6A6,🚦,vertical traffic light
1825,U+1F6A7,🚧,construction
1826,U+1F6D1,🛑,stop sign
