categoryA,categoryB
animal,animal_amphibian
animal,animal_bird
animal,animal_bug
animal,animal_mammal
animal,animal_marine
animal,animal_reptile
cat_face,animal
face_fantasy,face
face_negative,face
face_neutral,face
face_role,face
face_sick,face
face_smiley,face
face,emotion
food_asian,food
food_fruit,food
food_prepared,food
food_sweet,food
food_vegetable,food
light_video,video
monkey_face,animal
monkey_face,face
cat_face,face
musical_instrument,music
man,person
woman,person
person_activity,person
person_fantasy,person
person_gesture,person
person_role,person
person_sport,person
person_sport,sport
place_building,place
place_geographic,place
place_map,place
place_other,place
place_religious,religious
plant_flower,plant
plant_other,plant
religon,religious
sky_weather,sky
sky_weather,weather
sound,music
transport_air,sky
transport_air,transport
transport_ground,transport
transport_ground,ground
transport_water,transport
transport_water,water
